,REAL,ANN_PREDICTED,ANN_ERROR,PREDICTION_STD,PDB_ID
0,-10.17,-10.076035,-0.09396545410156243,0.118665695,1bzq
1,-12.17,-10.622934,-1.5470656585693359,0.17595577,1op9
2,-11.65,-10.6384325,-1.0115674972534183,0.18852425,1ri8
3,-13.8,-10.666155,-3.1338451385498054,0.18197489,1rjc
4,-10.91,-10.705614,-0.20438591003417983,0.19806337,1zv5
5,-8.9,-10.580041,1.6800409317016598,0.18141651,1zvh
6,-12.08,-10.255123,-1.8248768615722657,0.0066742897,2bse
7,-12.75,-10.703512,-2.046487808227539,0.22433424,3g9a
8,-12.59,-10.683493,-1.906507339477539,0.16576147,3k1k
9,-10.19,-10.564837,0.3748374557495122,0.06215763,3k74
10,-12.17,-10.773674,-1.3963259887695312,0.24717855,3zkq
11,-9.85,-10.660372,0.8103717803955082,0.23298979,4c57
12,-10.9,-10.748162,-0.1518377304077152,0.2312975,4c59
13,-12.28,-10.533296,-1.746704368591308,0.11478996,4eig
14,-11.63,-10.556675,-1.0733250427246102,0.16732264,4eiz
15,-10.17,-10.522638,0.35263832092285163,0.15925074,4i0c
16,-11.18,-10.251209,-0.9287907409667966,0.053514004,4lde
17,-13.15,-10.182659,-2.9673408508300785,0.057007313,4lgp
18,-13.59,-10.733473,-2.85652717590332,0.2374711,4lgr
19,-13.4,-10.675165,-2.724834823608399,0.2460599,4lgs
20,-12.26,-10.40057,-1.8594300842285154,0.13506079,4lhj
21,-11.4,-10.418409,-0.9815906524658207,0.18364716,4lhq
22,-11.87,-10.5857115,-1.2842885208129875,0.08165836,4nbx
23,-10.81,-10.568191,-0.2418094253540044,0.15344715,4nbz
24,-10.11,-10.374781,0.26478065490722713,0.06420946,4orz
25,-7.53,-10.696192,3.1661917877197263,0.21641731,4qo1
26,-12.28,-10.42642,-1.8535797882080072,0.09787941,4s10
27,-11.52,-10.410745,-1.109255332946777,0.01513195,4w6w
28,-11.3,-10.680328,-0.6196716308593757,0.15823412,4w6x
29,-12.0,-10.396652,-1.6033477783203125,0.047482967,4w6y
30,-7.05,-10.612591,3.562590789794922,0.21703339,4wem
31,-9.55,-10.623468,1.0734683990478509,0.21565533,4wen
32,-7.15,-10.488586,3.3385864257812496,0.09008169,4weu
33,-11.1,-10.586138,-0.5138622283935543,0.26347494,4x7f
34,-14.01,-10.54443,-3.4655702209472654,0.19461775,5hgg
35,-14.05,-10.734049,-3.3159511566162116,0.23546696,5hvf
36,-8.28,-10.561848,2.2818476867675788,0.07432127,5imk
37,-11.59,-10.750174,-0.8398264312744139,0.18873405,5j56
38,-14.6,-10.776264,-3.8237358093261715,0.26042747,5j57
